"name","mac_address","serial_number","tags","firmware_version","status","public_ip","local_ip","connectivity","clients_with_usage","gateway","power_source","ethernet_1","current_clients"
"EN4-Proteómica","88:15:44:60:48:fa","Q2MD-F8EU-QAHR","","MR 30.7.1","alerting","132.248.237.130","172.16.0.128","5/11/2026, 2:54:13 PM,4","108","true","PoE 802.3af (running in low power mode)","1000 Mbit, full duplex","21"
"ES3-Dra. Joseph / Dr. Charli","88:15:44:60:48:fe","Q2MD-FA4M-JA6W","","MR 30.7.1","online","132.248.237.130","172.16.0.116","5/11/2026, 7:57:59 PM,4,5/12/2026, 6:40:27 PM,0,5/12/2026, 6:47:19 PM,4","498","true","PoE 802.3at","1000 Mbit, full duplex","11"
"ES1-Planta-Piloto","88:15:44:60:49:1c","Q2MD-FMYQ-8KMQ","","MR 30.7.1","online","132.248.237.130","172.16.0.101","5/11/2026, 7:55:56 PM,4,5/12/2026, 6:40:45 PM,0,5/12/2026, 6:45:30 PM,4","552","true","PoE 802.3at","1000 Mbit, full duplex","20"
"EA-Bibloteca","88:15:44:60:51:3a","Q2MD-G3M4-4KBZ","","MR 30.7.1","online","132.248.237.130","172.16.0.132","5/11/2026, 7:56:57 PM,4,5/12/2026, 6:40:21 PM,0,5/12/2026, 6:46:15 PM,4","98","true","PoE 802.3at","1000 Mbit, full duplex","12"
"ES1-Auditorio-1","88:15:44:60:da:4c","Q2MD-GELJ-SEJF","","MR 30.7.1","online","132.248.237.130","172.16.0.154","5/11/2026, 6:15:04 PM,4","158","true","PoE 802.3at","1000 Mbit, full duplex","40"
"EN2-Cubiculos6-11","88:15:44:60:51:8a","Q2MD-H5R4-422A","","MR 30.7.1","online","132.248.237.130","172.16.0.137","5/11/2026, 2:54:13 PM,4","302","true","PoE 802.3at","100 Mbit, full duplex","41"
"EN3-Dra. Cassab/Dr. Pedraza","88:15:44:60:51:9a","Q2MD-HG89-A2L8","","MR 30.7.1","online","132.248.237.130","172.16.0.125","5/11/2026, 2:55:14 PM,4","50","true","PoE 802.3at","1000 Mbit, full duplex","87"
"ES2-Dr. Galindo / Dr. Ramírez","88:15:44:60:2a:86","Q2MD-HN82-S324","","MR 30.7.1","online","132.248.237.130","172.16.0.122","5/11/2026, 7:55:56 PM,4,5/12/2026, 6:40:30 PM,0,5/12/2026, 6:45:42 PM,4","144","true","PoE 802.3at","1000 Mbit, full duplex","11"
"ES2-Dr. X. Soberón/ Dr. Morett","88:15:44:60:51:ac","Q2MD-HRZ2-NF66","","MR 30.7.1","online","132.248.237.130","172.16.0.106","5/11/2026, 7:57:59 PM,4,5/12/2026, 6:40:39 PM,0,5/12/2026, 6:47:19 PM,4","161","true","PoE 802.3at","1000 Mbit, full duplex","16"
"EN3-Dra. Leon / Dr. Ronceret","88:15:44:60:49:cc","Q2MD-JFAP-NCDG","","MR 30.7.1","online","132.248.237.130","172.16.0.124","5/11/2026, 2:55:14 PM,4","64","true","PoE 802.3at","1000 Mbit, full duplex","58"
